first_name,last_name,email,phoneNumber,password
John,Doe,johndoe@gmail.com,+65 93835269,johndoe
Jane,Doe,janedoe@gmail.com,+65 95951618,janedoe
Kyle,Lim,kylelim@gmail.com,+65 98810741,kylelim
James,Goh,jamesgoh@gmail.com,+65 96846325,jamesgoh
Matthews,Wong,matthewswong@gmail.com,+65 97844878,matthewswong
Cody,Lim,codylim@gmail.com,+65 95159021,codylim
Aaron,Tan,aarontan@gmail.com,+65 93096966,aarontan
Zoe,Phua,zoephua@gmail.com,+65 93514056,zoephua
Amanda,Lee,amandalee@gmail.com,+65 92167544,amandalee
Sam,Ong,samong@gmail.com,+65 99964688,samong
